"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Edgar and Associates","Contract","BLT Enterprises Inc.","1st Quarter 2010","04/01/10"
"Edgar and Associates","Contract","SAFCA","1st Quarter 2010","04/01/10"
"Hefner, Stark & Marois, LLP","Contract","Lily Company","1st Quarter 2010","05/28/10"
"Hefner, Stark & Marois, LLP","Contract","Lennar Communities","1st Quarter 2010","05/28/10"
"Holloway Land Company","Contract","Drake Developments of California, Inc.","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","21st & I, LLC","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Trammell Crow Residential","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Recycling Industries","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Foothill Partners","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Paul & Milka Lausevic","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","James Marcus","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Investors Choice","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Pacific Housing","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Sisler and Sisler","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","PC & F","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Brothers Development","1st Quarter 2010","03/31/10"
"James Anthony","Contract","El Camino Wellness Center","1st Quarter 2010","04/07/10"
"Law Offices of George Phillips","Contract","Ose Properties","1st Quarter 2010","04/13/10"
"Law Offices of Gregory D. Thatch","Contract","500 Capitol Mall, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Arden Village, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","BFI Waste Services of Sacramento","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Biba Restaurant","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Buzz Oates Companies","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Centex Homes","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","D.R. Horton, Inc.-Sacramento","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Dan Dukes Trucking, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Don Glover","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Homes by Towne","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Jerry Greenberg","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","John Laing Homes","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","JPI, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","KB Home","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce Station, LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Kevin Donnelly","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Kip Skidmore","1st Quarter 2010","04/09/10"
